wave-length,optical-strength,light
650,0.450899581,0.450899581
651,0.441920271,0.441920271
652,0.433295946,0.433295946
653,0.424207632,0.424207632
654,0.415632073,0.415632073
655,0.408008158,0.408008158
656,0.400601537,0.400601537
657,0.392611164,0.392611164
658,0.38557387,0.38557387
659,0.380008864,0.380008864
660,0.373946879,0.373946879
661,0.365986627,0.365986627
662,0.357603978,0.357603978
663,0.350584613,0.350584613
664,0.343603972,0.343603972
665,0.335375509,0.335375509
666,0.326989274,0.326989274
667,0.319778433,0.319778433
668,0.314617893,0.314617893
669,0.31027346,0.31027346
670,0.304849731,0.304849731
671,0.29763602,0.29763602
672,0.290327647,0.290327647
673,0.284556821,0.284556821
674,0.279269349,0.279269349
675,0.272977163,0.272977163
676,0.265798592,0.265798592
677,0.258591337,0.258591337
678,0.251492368,0.251492368
679,0.244729021,0.244729021
680,0.238620423,0.238620423
681,0.233106335,0.233106335
682,0.228112889,0.228112889
683,0.223090041,0.223090041
684,0.217753086,0.217753086
685,0.212287762,0.212287762
686,0.20713798,0.20713798
687,0.202538962,0.202538962
688,0.198211739,0.198211739
689,0.193231203,0.193231203
690,0.187290416,0.187290416
691,0.181379031,0.181379031
692,0.176435786,0.176435786
693,0.172804189,0.172804189
694,0.169497457,0.169497457
695,0.165969846,0.165969846
696,0.162155379,0.162155379
697,0.157891264,0.157891264
698,0.153564042,0.153564042
699,0.149598259,0.149598259
700,0.146052718,0.146052718
701,0.14262479,0.14262479
702,0.138935821,0.138935821
703,0.13510988,0.13510988
704,0.131610955,0.131610955
705,0.128585341,0.128585341
706,0.125825786,0.125825786
707,0.122998821,0.122998821
708,0.119953128,0.119953128
709,0.116879466,0.116879466
710,0.113939192,0.113939192
711,0.111125853,0.111125853
712,0.108472434,0.108472434
713,0.105830491,0.105830491
714,0.103121137,0.103121137
715,0.100760312,0.100760312
716,0.09912595,0.09912595
717,0.097665853,0.097665853
718,0.095729575,0.095729575
719,0.092608582,0.092608582
720,0.089132605,0.089132605
721,0.086850666,0.086850666
722,0.08572117,0.08572117
723,0.0847559,0.0847559
724,0.082825359,0.082825359
725,0.08052334,0.08052334
726,0.078554791,0.078554791
727,0.076672298,0.076672298
728,0.074903115,0.074903115
729,0.073212099,0.073212099
730,0.071232793,0.071232793
731,0.069081372,0.069081372
732,0.067253383,0.067253383
733,0.06583488,0.06583488
734,0.064367612,0.064367612
735,0.062010373,0.062010373
736,0.059298867,0.059298867
737,0.057472311,0.057472311
738,0.056590229,0.056590229
739,0.055936198,0.055936198
740,0.054748614,0.054748614
741,0.053557445,0.053557445
742,0.052388507,0.052388507
743,0.050929844,0.050929844
744,0.049151336,0.049151336
745,0.047534186,0.047534186
746,0.046064766,0.046064766
747,0.045254398,0.045254398
748,0.044994794,0.044994794
749,0.04402522,0.04402522
750,0.042339225,0.042339225
