λ,d
730,93.1493166
731,93.13634848
732,93.12342971
733,93.1105604
734,93.09774064
735,93.08497054
736,93.0722502
737,93.05957971
738,93.04695918
739,93.0343887
740,93.02186838
741,93.00939832
742,92.99697861
743,92.98460935
744,92.97229065
745,92.96002261
746,92.94780532
747,92.93563888
748,92.9235234
749,92.91145898
750,92.89944571
